,time,rainfall
0,일시,1분 강수량(mm)
5,2019-06-24 0:05,0
10,2019-06-24 0:10,0
15,2019-06-24 0:15,0
20,2019-06-24 0:20,0
25,2019-06-24 0:25,0
30,2019-06-24 0:30,0
35,2019-06-24 0:35,0
40,2019-06-24 0:40,0
45,2019-06-24 0:45,0
50,2019-06-24 0:50,0
55,2019-06-24 0:55,0
60,2019-06-24 1:00,0
65,2019-06-24 1:05,0
70,2019-06-24 1:10,0
75,2019-06-24 1:15,0
80,2019-06-24 1:20,0
85,2019-06-24 1:25,0
90,2019-06-24 1:30,0
95,2019-06-24 1:35,0
100,2019-06-24 1:40,0
105,2019-06-24 1:45,0
110,2019-06-24 1:50,0
115,2019-06-24 1:55,0
120,2019-06-24 2:00,0
125,2019-06-24 2:05,0
130,2019-06-24 2:10,0
135,2019-06-24 2:15,0
140,2019-06-24 2:20,0
145,2019-06-24 2:25,0
150,2019-06-24 2:30,0
155,2019-06-24 2:35,0
160,2019-06-24 2:40,0
165,2019-06-24 2:45,0
170,2019-06-24 2:50,0
175,2019-06-24 2:55,0
180,2019-06-24 3:00,0
185,2019-06-24 3:05,0
190,2019-06-24 3:10,0
195,2019-06-24 3:15,0
200,2019-06-24 3:20,0
205,2019-06-24 3:25,0
210,2019-06-24 3:30,0
215,2019-06-24 3:35,0
220,2019-06-24 3:40,0
225,2019-06-24 3:45,0
230,2019-06-24 3:50,0
235,2019-06-24 3:55,0
240,2019-06-24 4:00,0
245,2019-06-24 4:05,0
250,2019-06-24 4:10,0
255,2019-06-24 4:15,0
260,2019-06-24 4:20,0
265,2019-06-24 4:25,0
270,2019-06-24 4:30,0
275,2019-06-24 4:35,0
280,2019-06-24 4:40,0
285,2019-06-24 4:45,0
290,2019-06-24 4:50,0
295,2019-06-24 4:55,0
300,2019-06-24 5:00,0
305,2019-06-24 5:05,0
310,2019-06-24 5:10,0
315,2019-06-24 5:15,0
320,2019-06-24 5:20,0
325,2019-06-24 5:25,0
330,2019-06-24 5:30,0
335,2019-06-24 5:35,0
340,2019-06-24 5:40,0
345,2019-06-24 5:45,0
350,2019-06-24 5:50,0
355,2019-06-24 5:55,0
360,2019-06-24 6:00,0
365,2019-06-24 6:05,0
370,2019-06-24 6:10,0
375,2019-06-24 6:15,0
380,2019-06-24 6:20,0
