date,time,user_name,text,link,retweet_counts,favorite_counts,hashtags,GeoInformation
2020-08-01,00:00:24,aMq5079cFidNNCI,그래서인지 노인들 사이에 정치얘기가 확 줄더라. 이런 얘기더군요. 즉 먹고살만한 논네들이 심심풀이 땅콩으로 과잉정치질 한다더군요. 태극귀세력도 코로나로 분열되었대요,https://twitter.com/aMq5079cFidNNCI/status/1289350228437475329,4,4,,
2020-08-01,00:00:25,gogospeedworld,"［#今日の社説 2020/08/01］ ・6개월 만에 살아난 산업생산…회복 모멘텀 살려 나가야 ・권력기관 개혁, 견제와 균형의 원칙 지켜야 ・코로나 딛고 일어선 산업생산…회복 모멘텀 살려야(종합)",https://twitter.com/gogospeedworld/status/1289350235668402176,0,0,,
2020-08-01,00:00:27,scjmd1085,경찰 코로나 가짜뉴스 맘카페 유포자 검거 및 집중단속 http://naver.me/GKMK5pAY #코로나가짜뉴스 #맘카페 https://twitter.com/zooroo616/status/1236312240350846976/photo/1,https://twitter.com/scjmd1085/status/1289350244291903488,1,0,,
2020-08-01,00:00:27,6364gkdu,코로나19 관련 신천지 예수교회 이만희 총회장님의 마음 https://loveismeet.tistory.com/668 #신천지 #이만희 #총회장 #코로나19,https://twitter.com/6364gkdu/status/1289350244765822976,1,1,,
2020-08-01,00:00:32,alxndla,"신종코로나19 이겨내는 방법, 면역력 높여주는 음식 https://matzzangs.tistory.com/1656 #신종코로나 #면역력 #신천지",https://twitter.com/alxndla/status/1289350262138662912,1,1,,
2020-08-01,00:00:32,mini_reira,"코로나19 , 귤쨈만들기, 딸기쨈만들기 ",https://twitter.com/mini_reira/status/1289350265678598145,0,0,,
2020-08-01,00:01:30,okong05,"[7월 31일] 캐나다 코로나 최신뉴스, 5월 경제 성장률 4.5%, 미국산 붉은 양파 식중독 일으킨다, 코로나 2번째 물결 분석... https://youtu.be/D063oJ8b5vU via @YouTube",https://twitter.com/okong05/status/1289350508881141760,0,0,,
2020-08-01,00:01:33,bgkimin,"신천지 이만희 '코로나 방역방해 혐의' 구속..""증거인멸 염려""(종합) | 다음뉴스 ",https://twitter.com/bgkimin/status/1289350520482623488,0,1,,
2020-08-01,00:01:42,BristolBrian,"어젯밤 동네 번화가를 지나가는데 술집마다 사람들로 가득했다. 외국 기자들이 모두 우리나라에 와서 저 풍경을 취재해야 한다고 생각한다. 코로나 시대에 락다운 없이 경제활동을 그대로 하는 나라, 싸우쓰 코리아.",https://twitter.com/BristolBrian/status/1289350556989796353,35,55,,
2020-08-01,00:02:22,djgood1067,일본의 한국 입국자 허용과 일본인의 한국 방문 요구는 같이 죽자는거지? 느닷없이 일본내 확진자 급증하는 상황에 뭔짓이야 코로나 수출하는거냐?,https://twitter.com/djgood1067/status/1289350727085592577,10,11,,
