,,t1,n1,n2,n3
20190624,0,104.21,104.24,101.99,101.64
20190624,5,106.93,104.95,103.8,99.58
20190624,10,102.78,103.3,102.39,103.16
20190624,15,108.5,100.84,101.03,106.62
20190624,20,107.46,108.54,103.28,108.98
20190624,25,101.51,105.45,102.53,103.62
20190624,30,103.69,104.13,99.44,108.53
20190624,35,105.03,105.91,100.61,109.78
20190624,40,107.92,100.23,103.02,106.66
20190624,45,108.21,107.39,102.11,110.96
20190624,50,107.45,101.78,102.29,101.77
20190624,55,107.63,99.75,100.22,106.49
20190624,100,105.95,104.9,101.42,104.4
20190624,105,105.12,103.93,99.52,102.71
20190624,110,104.42,103.36,101.91,101.68
20190624,115,101.13,101.89,98.33,112.16
20190624,120,106.27,101.58,97.56,108.45
20190624,125,104.93,105.64,100.94,111.18
20190624,130,103.59,104.35,99.56,101.34
20190624,135,101.43,101.3,98.75,102.99
20190624,140,105.88,101.98,100.39,103.41
20190624,145,101.73,99.97,99.05,106.25
20190624,150,102.27,98.98,98.57,100.16
20190624,155,100.64,89.44,102.34,97.78
20190624,200,101.8,98.93,98.45,104.82
20190624,205,102.36,104.99,99.33,102.81
20190624,210,100.26,100.74,98.84,101.56
20190624,215,98.06,96.25,98.35,96.93
20190624,220,98.74,96.7,97.28,96.82
20190624,225,103.7,99.64,96.03,106.16
20190624,230,102.38,102.94,96.86,105.1
20190624,235,101.45,100.95,93.16,100.29
20190624,240,97.68,102.56,97.57,103.45
20190624,245,100.27,95.25,98.8,102.92
20190624,250,98.9,92.56,97.2,101.62
20190624,255,102.31,99.01,96.33,105.34
20190624,300,101.5,99.88,95.08,98.74
20190624,305,96.97,98.23,96.35,97.93
20190624,310,99.67,97,95.5,99.59
20190624,315,97.45,96.86,97.03,97.46
20190624,320,97.96,96.93,94.76,96.06
20190624,325,96.35,98.5,95.89,96.91
20190624,330,100.01,97.06,93.45,99.41
20190624,335,99.08,99.37,88.6,98.1
20190624,340,101.59,101.55,93.64,98.06
20190624,345,100.25,98.1,94.28,97.98
20190624,350,100.15,98.24,91.72,100.79
20190624,355,101.48,97.98,93.48,100.63
20190624,400,96.87,99.89,94.27,95.99
20190624,405,101.32,98.51,94.56,100.03
20190624,410,99.93,99.28,91.68,98.76
20190624,415,100.51,100.73,94.98,95.17
20190624,420,100.82,97.88,94.97,97.65
20190624,425,102.28,100.07,96.53,101.6
20190624,430,101.07,101.79,95.52,100.44
20190624,435,104.47,102,95.8,97.81
20190624,440,99.78,105.44,95.48,98.2
20190624,445,101.05,102.57,96.69,102.67
20190624,450,102.31,102.28,96.45,99.85
20190624,455,99.27,100.22,95.9,103.23
20190624,500,101.35,99.36,95.9,108.13
20190624,505,101.24,100.24,98.9,105.82
20190624,510,101.43,96.28,96.32,104.88
20190624,515,100.74,99.4,99.64,102.88
20190624,520,99.75,96.83,99.41,101.3
20190624,525,99.09,94.01,98.8,102.76
20190624,530,98.72,91.57,100.76,96.57
20190624,535,96.58,89.87,100.93,92.28
20190624,540,93.4,90.28,100.78,94.17
20190624,545,92.1,88.25,100.13,94.83
20190624,550,91.52,90.79,100.45,93.05
20190624,555,89.7,89.56,100.48,88.88
20190624,600,87.16,89.06,100.94,83.36
20190624,605,84.26,85.83,98.68,81.05
20190624,610,78.96,84.04,99.27,84.31
20190624,615,78.38,83.62,101.6,68.26
20190624,620,74.09,83.96,101.67,62.66
20190624,625,75.22,78.7,102.33,61.82
20190624,630,78.78,77.66,103.8,58.46
20190624,635,79.19,74.49,100.99,54.72
20190624,640,83.26,74.24,100.82,55.46
20190624,645,86.71,71.73,101.8,57.31
20190624,650,87.61,67.25,102.4,59.71
20190624,655,87.58,63.99,100.94,61.48
20190624,700,81.22,64.24,99.92,56.69
20190624,705,78.98,64.75,102.04,55.17
20190624,710,76.53,58.88,101.86,59.91
20190624,715,77.23,53.02,102.95,58.69
20190624,720,71.7,48.47,101.93,53.6
20190624,725,72.86,39.98,101.77,52.77
20190624,730,70.92,36.18,100.03,54.83
20190624,735,67.47,31.4,102.6,61.35
20190624,740,68.67,30.39,102.88,59.11
20190624,745,56.79,29.05,102.13,54.22
20190624,750,52.13,29.4,101.45,57.57
20190624,755,61.95,29.51,101.69,54.32
20190624,800,61.69,33.49,102.09,56.43
20190624,805,60.24,34.51,101.2,52.18
20190624,810,65.29,32.72,101.27,52.87
