,,t1,n2,n3,n4
20181112,0,106.18,107.91,100.81,105.23
20181112,5,104.71,106.49,99.55,107.4
20181112,10,105.13,104.73,100.15,106.47
20181112,15,104.67,104.84,99.95,113.22
20181112,20,105.81,106.02,101.96,108.18
20181112,25,104.5,106.14,98.76,112.12
20181112,30,106.22,105.9,99.03,110.55
20181112,35,104.61,104.64,100.62,111.22
20181112,40,102.25,105.35,101.17,112.1
20181112,45,106.46,108.34,98.19,108.21
20181112,50,105.98,101.98,100.6,113.57
20181112,55,107.06,103.18,99.62,107.37
20181112,100,104.93,105.69,99.74,110.23
20181112,105,108.33,103.72,100.08,110.62
20181112,110,104.09,100.4,100.89,112.18
20181112,115,107.28,102.41,100.36,109.25
20181112,120,105.96,102.05,99.61,113.28
20181112,125,103.19,100.08,99.38,111.05
20181112,130,103.87,101.2,97.84,109.73
20181112,135,104.78,104.52,99.82,111.51
20181112,140,106.65,106.28,100.66,108.92
20181112,145,105.44,103.83,98.44,111.75
20181112,150,105.96,100.99,97.6,109.95
20181112,155,105.17,96.5,98.63,108.22
20181112,200,103.03,102.99,98.68,106.14
20181112,205,100.49,100.41,100.2,105.69
20181112,210,103.65,95.48,96.08,106.65
20181112,215,106.22,99.69,95.92,108.27
20181112,220,102.92,95.23,96.46,111.2
20181112,225,104.03,98.16,94.65,105.11
20181112,230,101.81,96.07,97.3,106.17
20181112,235,102.18,97.67,95.25,102.8
20181112,240,105.14,97.93,96.69,104.29
20181112,245,101.42,94.95,97.35,105.34
20181112,250,101.68,99.36,95.11,98.66
20181112,255,96.86,96.35,94.74,105.78
20181112,300,97.17,98.86,93.19,103.52
20181112,305,99.04,96.72,93.67,104.17
20181112,310,101.49,100.99,91.54,104.92
20181112,315,100.52,101.45,96.43,105.68
20181112,320,102.88,96.97,91.41,106.14
20181112,325,99.43,94.86,94.8,106.55
20181112,330,98.08,96.84,93.36,100.72
20181112,335,100.07,101.7,93.1,100.87
20181112,340,97.64,96.22,94.87,98.2
20181112,345,100.77,98.2,94.94,107.2
20181112,350,99.16,103.96,91.86,105.22
20181112,355,101.47,98.94,98.37,111.95
20181112,400,101.27,95.23,94.76,99.41
20181112,405,101.09,98.69,96.24,99.62
20181112,410,97.9,99.2,94,105.72
20181112,415,101.97,100.23,94.95,102.92
20181112,420,101.45,99.14,96.64,102.32
20181112,425,101.24,99.75,94.83,102.83
20181112,430,101.94,97.52,96.31,109.03
20181112,435,103.49,98.21,95.78,102.68
20181112,440,100.72,100.79,97.45,102.36
20181112,445,101.87,100.59,93.47,102.11
20181112,450,103.34,96.08,95.5,106.25
20181112,455,100.31,100.19,97.19,99.27
20181112,500,99.56,98.21,95.78,102.77
20181112,505,101.27,98.18,95.59,105.5
20181112,510,99.01,97.03,96.18,102.23
20181112,515,99.37,95.18,99.19,101.21
20181112,520,98.52,91.28,100.11,101.8
20181112,525,96.48,89.01,96.26,97
20181112,530,95.18,86.4,97.23,96.86
20181112,535,92.92,86.75,96.58,95.36
20181112,540,92.33,86.74,97.12,94.83
20181112,545,91.63,84.04,97.85,94.37
20181112,550,89.14,82.66,97.63,90.88
20181112,555,85.96,78.51,97.44,90.59
20181112,600,82.75,81.78,98.04,89.99
20181112,605,81.74,84.87,97.45,89.55
20181112,610,81.59,81.81,97.02,81.27
20181112,615,78.38,80.17,96.65,65.01
20181112,620,73.41,71.25,96.7,59.59
20181112,625,72.19,68.42,98.73,56.09
20181112,630,72.93,66.34,97.03,49.4
20181112,635,73.13,60.09,95.67,50.13
20181112,640,75.83,49.6,95.55,48.47
20181112,645,76.96,44.62,97.34,50.05
20181112,650,78.89,42.41,98.77,46.85
20181112,655,79.97,33,98.01,49.11
20181112,700,80.03,45.99,98.22,55.89
20181112,705,78.35,31.27,98.52,53.44
20181112,710,83.37,27.62,100.24,50.23
20181112,715,84.59,28.27,100.22,45.27
20181112,720,82.58,26.67,100.92,44.3
20181112,725,84.05,23.39,101.58,43.75
20181112,730,85.9,26.99,100.37,53.54
20181112,735,81.99,25.49,99.31,55.85
20181112,740,83.92,26.51,99.06,50.59
20181112,745,82.59,27.66,100.94,48.24
20181112,750,84.41,25.32,101.03,41.15
20181112,755,84.84,25.25,102.35,53.5
20181112,800,86.45,27.91,99.85,44.7
20181112,805,86.74,27.29,101.68,43.8
20181112,810,84.89,27.74,100.25,43.38
20181112,815,83.74,29.86,101.09,53.31
20181112,820,85.08,30.29,99.76,52.02
20181112,825,85.6,34.14,98.92,51.46
20181112,830,87.45,35.58,100.91,49.44
20181112,835,85.09,36.48,101.21,49.73
20181112,840,84.53,62.79,100.88,47.98
20181112,845,82.36,84.89,99.14,45.54
20181112,850,85.09,85.32,98.64,46.75
20181112,855,85.21,79.41,97.52,53.52
20181112,900,87.71,67.27,97.43,67.84
20181112,905,89.74,72.58,97.83,73.64
20181112,910,90.47,83.57,98.35,72.81
20181112,915,89.31,82.89,96.91,78.86
20181112,920,86.6,85.45,96.95,73.49
20181112,925,88.15,89.08,96.79,77.47
20181112,930,87.01,89.04,96.31,74.91
20181112,935,86.1,86.15,95.48,65.5
20181112,940,86.68,85.28,95.76,46.45
20181112,945,86.97,81.47,96.04,37.88
20181112,950,87.94,79.76,94.36,36.57
20181112,955,86.81,76.09,94.14,35.66
20181112,1000,88.2,71.73,95.41,48.94
20181112,1005,87.23,65.3,93.99,48.65
20181112,1010,87.15,66.54,92.67,51.74
20181112,1015,89.51,64.18,93.81,40.87
20181112,1020,87.36,70.87,92.2,45.86
20181112,1025,82.43,73.74,93.01,50.4
20181112,1030,81.7,72.68,93,48.72
20181112,1035,82.98,66.3,94.57,47.5
20181112,1040,80.27,51.92,94.17,44.3
20181112,1045,77.38,61.13,94.79,47.56
20181112,1050,79.31,67.21,94.69,51.02
20181112,1055,81.3,70.13,95.97,54.69
20181112,1100,84.93,53.98,94.6,57.24
20181112,1105,87.55,63.85,93.78,63.53
20181112,1110,81.44,77.46,94.62,61.36
20181112,1115,66.6,78.83,94.4,72.27
20181112,1120,59.79,68.57,94.94,71.42
20181112,1125,55.33,80.73,95.21,58.87
20181112,1130,56.9,88.21,93.18,55.35
20181112,1135,66.45,87.5,93.16,55.86
20181112,1140,81.93,87.19,94.39,57.34
20181112,1145,82.62,87.05,93.3,64.5
20181112,1150,81.71,87.75,93.09,61.59
20181112,1155,87.58,86.48,93.23,57.45
20181112,1200,81.91,85.69,95.7,65.71
20181112,1205,82.75,89.72,94.21,60.26
20181112,1210,83.14,90.42,94.87,56.32
20181112,1215,82.37,87.58,94.95,56.63
20181112,1220,79.63,87.47,96.14,61.07
20181112,1225,83.52,90.01,95.41,83.86
20181112,1230,84.72,90.49,95.53,82.6
20181112,1235,84.46,90.13,96.26,66.22
20181112,1240,83.61,88.6,95.7,62.49
20181112,1245,80.77,91.27,95.51,61.13
20181112,1250,80.19,91.33,96.85,61.64
20181112,1255,80.41,90.7,95.38,60.34
20181112,1300,65.98,91.53,95.51,56.12
20181112,1305,60.49,91.3,95.71,49.26
20181112,1310,54.99,90.65,96.12,33.11
20181112,1315,67.17,93.17,96.28,21.26
20181112,1320,71.91,91.58,93.94,29.47
20181112,1325,66.01,91.93,94.41,45.24
20181112,1330,64.07,92.73,92.53,51.85
20181112,1335,62.13,91.88,94.2,52.78
20181112,1340,56.97,93.89,94.44,49.1
20181112,1345,63.58,91.89,93.52,40.94
20181112,1350,62.45,92.71,93.62,34.65
20181112,1355,58.7,94.21,91.65,38.39
20181112,1400,59.89,94.55,93.08,33.48
20181112,1405,60,92.77,91.84,43.86
20181112,1410,61.87,92.86,92.24,56.56
20181112,1415,55.77,92.43,94.11,82.5
20181112,1420,64.99,92.23,92.8,75.77
20181112,1425,58.83,90.01,91.41,75.37
20181112,1430,60.65,92,91.21,73.21
20181112,1435,60.5,89.79,89.73,77.38
20181112,1440,61.42,90.06,90.83,62.16
20181112,1445,62.36,91.26,91.58,58.77
20181112,1450,61.71,88.91,92.17,55.76
20181112,1455,62.95,86.06,90.52,47.27
20181112,1500,64.03,91.58,94.34,40.74
20181112,1505,60.87,92.5,94,41.81
20181112,1510,61.4,92.89,92.92,40.2
